cod_prop,ut,area_amostrada_ha,metodo_calculo
B13,UT01,0.0731700411753,"BD_Inventário (1 UTs, 1 indivíduos total)"
B13,UT07,0.7926921116187492,"BD_Inventário (1 UTs, 244 indivíduos total)"
D001_1,UT01,0.367715724233,"BD_Inventário (1 UTs, 61 indivíduos total)"
D001_1,UT02,0.14409504955,"BD_Inventário (1 UTs, 68 indivíduos total)"
D001_1,UT04,0.01,"BD_Inventário (1 UTs, 150 indivíduos total)"
D001_1,UT05,1.7728477618093,"BD_Inventário (1 UTs, 52 indivíduos total)"
D001_1,UT06,2.035646541713,"BD_Inventário (1 UTs, 96 indivíduos total)"
D001_1,UT07,0.607390391368,"BD_Inventário (1 UTs, 40 indivíduos total)"
D001_1,UT08,0.630534924415,"BD_Inventário (1 UTs, 23 indivíduos total)"
D001_1,UT09,0.3782539178828,"BD_Inventário (1 UTs, 92 indivíduos total)"
D004,UT01,0.1358205659013,"BD_Inventário (1 UTs, 53 indivíduos total)"
D004,UT02,0.17026307944056998,"BD_Inventário (1 UTs, 35 indivíduos total)"
D004,UT04,0.18082963841879998,"BD_Inventário (1 UTs, 25 indivíduos total)"
D005,UT01,0.0327641091925,"BD_Inventário (1 UTs, 67 indivíduos total)"
D005,UT02,0.00987213471483,"BD_Inventário (1 UTs, 25 indivíduos total)"
D006,UT01,0.5219352224645,"BD_Inventário (1 UTs, 55 indivíduos total)"
D006,UT02,0.134268910493,"BD_Inventário (1 UTs, 36 indivíduos total)"
D006,UT04,0.32710012064749994,"BD_Inventário (1 UTs, 36 indivíduos total)"
D006,UT05,0.0878782728482,"BD_Inventário (1 UTs, 34 indivíduos total)"
D007,UT01,0.01309990845529,"BD_Inventário (1 UTs, 28 indivíduos total)"
D007,UT02,0.01396221295443,"BD_Inventário (1 UTs, 32 indivíduos total)"
D007,UT03,0.01209492037785,"BD_Inventário (1 UTs, 29 indivíduos total)"
D007,UT04,0.022323270939499998,"BD_Inventário (1 UTs, 25 indivíduos total)"
D007,UT05,0.00328670569968,"BD_Inventário (1 UTs, 12 indivíduos total)"
D007,UT06,0.01700121524595,"BD_Inventário (1 UTs, 37 indivíduos total)"
D012,UT01,0.12278845665,"BD_Inventário (1 UTs, 71 indivíduos total)"
D012,UT04,0.170064982154,"BD_Inventário (1 UTs, 52 indivíduos total)"
D013_1,UT02,0.02987662514652,"BD_Inventário (1 UTs, 34 indivíduos total)"
D013_1,UT03,0.0551224279888,"BD_Inventário (1 UTs, 50 indivíduos total)"
D013_1,UT04,0.0257455413314,"BD_Inventário (1 UTs, 36 indivíduos total)"
D014,UT01,0.10063911289242,"BD_Inventário (1 UTs, 287 indivíduos total)"
D014,UT02,0.0082282357678,"BD_Inventário (1 UTs, 65 indivíduos total)"
D014,UT03,0.0249891621003,"BD_Inventário (1 UTs, 86 indivíduos total)"
D015,UT01,0.00511553331467,"BD_Inventário (1 UTs, 35 indivíduos total)"
D015,UT02,0.0112108860058,"BD_Inventário (1 UTs, 97 indivíduos total)"
D015,UT03,0.02678266621659,"BD_Inventário (1 UTs, 464 indivíduos total)"
D016,UT02,0.113076592625,"BD_Inventário (1 UTs, 144 indivíduos total)"
D016,UT03,0.0231089321818,"BD_Inventário (1 UTs, 46 indivíduos total)"
D017,UT01,0.06207959670673,"BD_Inventário (1 UTs, 164 indivíduos total)"
D018,UT01,0.5003487223306,"BD_Inventário (1 UTs, 114 indivíduos total)"
D018,UT02,0.1433660766655,"BD_Inventário (1 UTs, 35 indivíduos total)"
D018,UT03,0.17392852005859,"BD_Inventário (1 UTs, 35 indivíduos total)"
D018_2,UT01,0.0927920665117,"BD_Inventário (1 UTs, 89 indivíduos total)"
D019,UT01,0.0500580375428,"BD_Inventário (1 UTs, 79 indivíduos total)"
D019,UT02,0.0226424073546,"BD_Inventário (1 UTs, 85 indivíduos total)"
D019,UT03,0.0689192249316,"BD_Inventário (1 UTs, 235 indivíduos total)"
D019,UT04,0.0111792830764,"BD_Inventário (1 UTs, 15 indivíduos total)"
D019,UT05,0.0134533283573,"BD_Inventário (1 UTs, 44 indivíduos total)"
D019,UT06,0.00896031635189,"BD_Inventário (1 UTs, 24 indivíduos total)"
D019,UT07,0.0630775813237,"BD_Inventário (1 UTs, 214 indivíduos total)"
D019,UT08,0.0235540904686,"BD_Inventário (1 UTs, 54 indivíduos total)"
D021,UT01,0.0530842586461,"BD_Inventário (1 UTs, 150 indivíduos total)"
D021,UT02,0.0159094101734,"BD_Inventário (1 UTs, 123 indivíduos total)"
D021,UT03,0.0169676296089,"BD_Inventário (1 UTs, 86 indivíduos total)"
D029,UT01,0.0739099068578,"BD_Inventário (1 UTs, 220 indivíduos total)"
D029,UT02,0.038550597083500004,"BD_Inventário (1 UTs, 73 indivíduos total)"
D029,UT03,0.0397212406329,"BD_Inventário (1 UTs, 104 indivíduos total)"
D029,UT04,0.047124871219600004,"BD_Inventário (1 UTs, 138 indivíduos total)"
D031,UT01,0.025438711589461,"BD_Inventário (1 UTs, 55 indivíduos total)"
D031,UT02,0.016664177242604,"BD_Inventário (1 UTs, 15 indivíduos total)"
D031,UT03,0.00281133314238,"BD_Inventário (1 UTs, 21 indivíduos total)"
D032,UT01,0.263900532027,"BD_Inventário (1 UTs, 175 indivíduos total)"
D033,UT01,0.1358046883442,"BD_Inventário (1 UTs, 109 indivíduos total)"
D035,UT01,0.07073633136806,"BD_Inventário (1 UTs, 60 indivíduos total)"
D035,UT02,0.0862384071501,"BD_Inventário (1 UTs, 114 indivíduos total)"
D038,UT01,0.08885040270418999,"BD_Inventário (1 UTs, 468 indivíduos total)"
D039,UT01,0.0123532015417,"BD_Inventário (1 UTs, 46 indivíduos total)"
D039,UT02,0.0117656217738,"BD_Inventário (1 UTs, 35 indivíduos total)"
D040,UT01,0.09600902901809999,"BD_Inventário (1 UTs, 289 indivíduos total)"
D041,UT01,0.0522448984914,"BD_Inventário (1 UTs, 93 indivíduos total)"
D041,UT02,0.106770732539,"BD_Inventário (1 UTs, 207 indivíduos total)"
D042_1,UT02,0.0731803175728,"BD_Inventário (1 UTs, 133 indivíduos total)"
D042_1,UT03,0.0222039642945,"BD_Inventário (1 UTs, 22 indivíduos total)"
